"Index" "VZ" "MRK" "CSCO" "PG" "JPM" "KO" "MSFT" "TRV" "NKE" "WBA" "MCD" "WMT" "HD" "BA" "AXP" "UTX" "PFE" "IBM" "CVX" "JNJ" "UNH" "MMM" "DIS" "INTC" "AAPL" "XOM" "CAT"
"1991-02-11" 3.93318 5.48924 0.158203 2.78322 1.392259 1.769553 1.046297 4.548076 0.042348 1.536936 3.816046 5.777782 2.161455 12.717621 2.248272 0.776663 0.382346 11.033078 3.131886 3.175044 0.720848 5.930838 6.162662 0.783085 0.288402 2.393151 1.492845
"1991-02-12" 3.876316 5.386701 0.162664 2.770906 1.372227 1.735441 1.03626 4.548076 0.042454 1.484342 3.975049 5.621099 2.133384 11.944036 2.237411 0.757246 0.385217 11.06433 3.058686 3.230394 0.820275 5.939019 6.254057 0.761333 0.281941 2.34375 1.523389
"1991-02-13" 3.93318 5.393537 0.165409 2.758591 1.422308 1.769553 1.058842 4.598057 0.042875 1.460966 4.11815 5.79737 2.155839 11.665557 2.280857 0.730064 0.38426 11.220611 3.063916 3.256114 0.817168 6.102624 6.351985 0.759356 0.281941 2.404129 1.538661
"1991-02-14" 3.847883 5.338845 0.160605 2.713435 1.36221 1.756762 1.011169 4.531417 0.039293 1.437591 4.022749 5.660271 2.110927 11.882155 2.280857 0.728122 0.388567 11.251869 3.01163 3.209819 0.823383 5.97174 6.162662 0.747491 0.268431 2.360217 1.550115
"1991-02-15" 3.857357 5.578106 0.160605 2.79143 1.392259 1.790873 1.03626 4.531417 0.037819 1.494057 4.006849 5.816953 2.200754 12.1297 2.335162 0.745597 0.401487 11.449813 3.032546 3.333272 0.807847 6.166214 6.156137 0.771221 0.287703 2.34375 1.561569
"1991-02-19" 3.819449 5.598613 0.159232 2.758591 1.36221 1.786609 1.028733 4.564735 0.039504 1.536228 4.086349 5.758201 2.234439 12.222529 2.215688 0.797712 0.398138 11.626927 3.027315 3.328126 0.789205 6.064572 6.195303 0.790995 0.29956 2.34924 1.58066
"1991-02-20" 3.734151 5.509747 0.158546 2.721646 1.302113 1.765289 1.031242 4.564735 0.038556 1.494057 4.05455 5.621099 2.155839 11.882155 2.117938 0.789315 0.388567 11.491488 3.027315 3.292121 0.755026 5.979872 6.123495 0.78704 0.304553 2.354729 1.546297
"1991-02-21" 3.743629 5.523418 0.156487 2.676489 1.282081 1.795137 1.003642 4.581397 0.038556 1.518155 4.086349 5.640681 2.077242 11.758385 2.172243 0.791415 0.391917 11.293537 3.022087 3.307554 0.751919 5.937522 6.201832 0.783085 0.294568 2.365706 1.519571
"1991-02-22" 3.686764 5.564433 0.1558 2.70933 1.322145 1.816458 1.026223 4.598057 0.040242 1.494057 3.959148 5.83654 2.228825 11.851212 2.161383 0.80401 0.460825 11.106004 3.01163 3.312698 0.779883 5.929051 6.345456 0.78704 0.298312 2.360217 1.515752
"1991-02-25" 3.677288 5.646467 0.1558 2.750381 1.322145 1.824985 1.033751 4.564735 0.041084 1.536228 3.943248 5.93447 2.200754 11.60367 2.172243 0.806109 0.475545 11.13726 2.980258 3.384712 0.807847 5.962932 6.449906 0.790995 0.289575 2.365706 1.546297
